zip_code,sex,pct_bachelors
53405,male,21.6
53405,female,20.3
53406,male,30.2
53406,female,30.7
53501,male,0
53501,female,0
53502,male,14.6
53502,female,20
53503,male,16.2
53503,female,23.4
53504,male,14.2
53504,female,20.9
53505,male,7.4
53505,female,28.1
53506,male,10.6
53506,female,16.1
53507,male,27.9
53507,female,31.9
53508,male,29.2
53508,female,34.3
53510,male,19.2
53510,female,20.7
53511,male,14.8
53511,female,18.3
53515,male,28.8
53515,female,33.7
53516,male,22.4
53516,female,32.9
53517,male,33.1
53517,female,33.5
53518,male,12.9
53518,female,21.9
53520,male,17.7
53520,female,17.4
53521,male,27.8
53521,female,37.3
53522,male,10.9
53522,female,21.3
53523,male,30.4
53523,female,37.1
53525,male,14.9
53525,female,23.1
53526,male,18.6
53526,female,23.1
53527,male,39.3
53527,female,38.8
53528,male,35.6
53528,female,39.4
53529,male,19.2
53529,female,27.2
53530,male,15
53530,female,19.8
53531,male,25
53531,female,36.4
53532,male,38
53532,female,34.8
53533,male,20.6
53533,female,26
53534,male,16.3
53534,female,26.1
53536,male,24.6
53536,female,26.3
53537,male,2.4
53537,female,22.4
53538,male,19
53538,female,25.9
53540,male,8.2
53540,female,16.9
53541,male,10.2
53541,female,17.6
53543,male,16.4
53543,female,20.7
53544,male,18.5
53544,female,28.8
53545,male,24.7
53545,female,24
53546,male,20.4
53546,female,22.9
53548,male,17
53548,female,21.3
53549,male,21.4
53549,female,18.1
53550,male,4.5
53550,female,12.6
53551,male,35.3
53551,female,36.7
53553,male,5
53553,female,11.1
53554,male,15.5
53554,female,20.5
53555,male,30.6
53555,female,34.2
53556,male,9.8
53556,female,14.1
53557,male,13
53557,female,11.1
53558,male,42.1
53558,female,50.2
53559,male,14.2
53559,female,21.1
53560,male,26.1
53560,female,30.3
53561,male,25.6
53561,female,26.7
53562,male,60.8
53562,female,60.6
53563,male,25.3
53563,female,31.7
53565,male,23.6
53565,female,28.7
53566,male,21
53566,female,22.7
53569,male,21.2
53569,female,20.3
53570,male,16.7
53570,female,21.3
53571,male,37.7
53571,female,48.8
53572,male,45.3
53572,female,40.5
53573,male,12
53573,female,15.2
53574,male,33.9
53574,female,36.2
53575,male,37.7
53575,female,43.4
53576,male,14.7
53576,female,26.9
53577,male,16.6
53577,female,21
53578,male,33.7
53578,female,33
53579,male,9.7
53579,female,11
53580,male,20.1
53580,female,21
53581,male,18.2
53581,female,22.7
53582,male,15
53582,female,21.5
53583,male,22
53583,female,24.4
53585,male,10.3
53585,female,14.6
53586,male,13.1
53586,female,19.5
53587,male,12.6
53587,female,12.3
53588,male,29.5
53588,female,31.2
53589,male,33.2
53589,female,32.9
53590,male,41.3
53590,female,42.4
53593,male,63.8
53593,female,62.7
53594,male,15
53594,female,21.2
53597,male,47.1
53597,female,48.7
53598,male,45.5
53598,female,35.9
53599,male,0
53599,female,0
53702,male,0
53702,female,0
53703,male,66.3
53703,female,69.8
53704,male,41.6
53704,female,43.6
53705,male,76.8
53705,female,75.4
53706,male,44.4
53706,female,100
53711,male,61.7
53711,female,57.9
53713,male,28.1
53713,female,28.5
53714,male,31.5
53714,female,30.8
53715,male,56.6
53715,female,58.2
53716,male,40.6
53716,female,43.8
53717,male,78.8
53717,female,65.1
53718,male,56.1
53718,female,50.6
53719,male,59.2
53719,female,60.9
53726,male,90.2
53726,female,91.8
53801,male,10.6
53801,female,14.1
53802,male,0
53802,female,0
53803,male,15.2
53803,female,17.1
53804,male,8.1
53804,female,13.9
53805,male,10.1
53805,female,18.6
53806,male,11.5
53806,female,14.7
53807,male,19.3
53807,female,26.4
53808,male,13.7
53808,female,13.7
53809,male,15.4
53809,female,18.6
53810,male,11.3
53810,female,18.3
53811,male,17.7
53811,female,37.1
53813,male,19.2
53813,female,20.2
53816,male,11.6
53816,female,14.5
53817,male,16.4
53817,female,20.8
53818,male,31.7
53818,female,34.8
53820,male,16.3
53820,female,20.5
53821,male,16.4
53821,female,16.4
53825,male,10.5
53825,female,22.3
53826,male,10.6
53826,female,11.8
53827,male,5.7
53827,female,15.9
53901,male,16.2
53901,female,19.3
53910,male,8.7
53910,female,13.2
53911,male,19.8
53911,female,25.3
53913,male,21.4
53913,female,23.4
53916,male,16.4
53916,female,20.9
53919,male,14.8
53919,female,18.3
53920,male,15.8
53920,female,13
53922,male,6.4
53922,female,16.8
53923,male,13.1
53923,female,15.9
53924,male,10.8
53924,female,14.8
53925,male,28.2
53925,female,29.7
53926,male,7.7
53926,female,12.3
53928,male,0
53928,female,11.9
53929,male,12
53929,female,17.1
53930,male,11.6
53930,female,13.7
53931,male,16.7
53931,female,15.9
53932,male,19.8
53932,female,27.6
53933,male,10.9
53933,female,19
53934,male,9.6
53934,female,15.1
53935,male,14.7
53935,female,15.4
53936,male,3.6
53936,female,13.3
53937,male,13.2
53937,female,17.2
53939,male,14.3
53939,female,12
53941,male,17.2
53941,female,21.4
53943,male,11.5
53943,female,13.2
53944,male,9.8
53944,female,15.3
53946,male,15.8
53946,female,16.8
53947,male,4
53947,female,3.9
53948,male,12.4
53948,female,15.8
53949,male,9.8
53949,female,14.7
53950,male,9
53950,female,18
53951,male,11
53951,female,19.1
53952,male,9.1
53952,female,13.7
53953,male,0
53953,female,4.2
53954,male,18.1
53954,female,21.4
53955,male,22.1
53955,female,24.6
53956,male,13.1
53956,female,14.7
53959,male,19
53959,female,20.7
53960,male,12.6
53960,female,23.2
53961,male,14.5
53961,female,22.9
53963,male,12.2
53963,female,17.9
53964,male,13.5
53964,female,17.9
53965,male,16.2
53965,female,22.1
53968,male,9.9
53968,female,14.1
53969,male,12.3
53969,female,11.4
54001,male,21.5
54001,female,19.4
54002,male,15.8
54002,female,20.7
54003,male,22
54003,female,24.8
54004,male,14.5
54004,female,13.8
54005,male,10.6
54005,female,15.5
54006,male,11.5
54006,female,16.3
54007,male,6.8
54007,female,26.3
54009,male,21.3
54009,female,24.2
54010,male,0
54010,female,0
54011,male,17.5
54011,female,21.2
54013,male,14
54013,female,21.3
54014,male,15.5
54014,female,23.3
54015,male,20.3
54015,female,32.7
54016,male,45.9
54016,female,46.5
54017,male,22.6
54017,female,26.5
54020,male,24.8
54020,female,25.1
54021,male,28.6
54021,female,25.4
54022,male,35.9
54022,female,44.4
54023,male,28.2
54023,female,33.4
54024,male,23
54024,female,24.3
54025,male,21.4
54025,female,30.2
54026,male,14.4
54026,female,27.2
54027,male,16.2
54027,female,20.1
54028,male,19.6
54028,female,21
54082,male,37
54082,female,57.3
54101,male,12.5
54101,female,18.6
54102,male,10.8
54102,female,7.2
54103,male,8.5
54103,female,20.9
54104,male,6.8
54104,female,9
54106,male,11.1
54106,female,14.4
54107,male,14.7
54107,female,17
54110,male,15.2
54110,female,23.4
54111,male,15.1
54111,female,17.3
54112,male,8.2
54112,female,17
54113,male,18.8
54113,female,19.7
54114,male,15.5
54114,female,14.7
54115,male,35.2
54115,female,35.5
54119,male,18.9
54119,female,31.5
54120,male,3.1
54120,female,7.4
54121,male,22.7
54121,female,19.8
54123,male,12.6
54123,female,20
54124,male,7.8
54124,female,15.8
54125,male,10.1
54125,female,13.4
54126,male,13
54126,female,15.3
54127,male,0
54127,female,0
54128,male,13
54128,female,14.4
54129,male,12.3
54129,female,21.1
54130,male,19
54130,female,25.6
54135,male,20.1
54135,female,16.8
54136,male,21.8
54136,female,25.4
54137,male,15.9
54137,female,16.4
54138,male,19.8
54138,female,21.4
54139,male,13.7
54139,female,13.4
54140,male,22.6
54140,female,20.7
54141,male,12.4
54141,female,22.9
54143,male,13.5
54143,female,16.7
54149,male,10.2
54149,female,17.4
54150,male,4.3
54150,female,15.5
54151,male,15
54151,female,13
54153,male,13.8
54153,female,18.7
54154,male,17.5
54154,female,16
54155,male,39.1
54155,female,39.3
54156,male,8.6
54156,female,12.4
54157,male,18
54157,female,11.3
54159,male,12.6
54159,female,19.1
54160,male,15.3
54160,female,18.8
54161,male,9
54161,female,12.8
54162,male,19.6
54162,female,21.3
54165,male,17.8
54165,female,19
54166,male,17.8
54166,female,18.2
54169,male,46.4
54169,female,48.9
54170,male,13.3
54170,female,19.2
54171,male,27.6
54171,female,33.3
54173,male,28.2
54173,female,35
54174,male,7.2
54174,female,13.3
54175,male,19.1
54175,female,18.3
54177,male,12.1
54177,female,17
54180,male,27
54180,female,36.5
54201,male,16.6
54201,female,14.6
54202,male,41.3
54202,female,37.7
54204,male,15.2
54204,female,18.4
54205,male,12.5
54205,female,15.7
54207,male,0
54207,female,13.8
54208,male,14.3
54208,female,21.4
54209,male,44.4
54209,female,37.2
54210,male,45.3
54210,female,43.3
54211,male,56.3
54211,female,58.7
54212,male,58
54212,female,58.9
54213,male,9.8
54213,female,14.9
54214,male,13.4
54214,female,12.3
54216,male,17.6
54216,female,16.6
54217,male,19
54217,female,23
54220,male,20.5
54220,female,23.6
54227,male,11.1
54227,female,22.3
54228,male,14.2
54228,female,16.1
54229,male,18.7
54229,female,22
54230,male,11.9
54230,female,21.5
54232,male,9.9
54232,female,13.7
54234,male,50.5
54234,female,45.3
54235,male,26.3
54235,female,28.7
54241,male,16.9
54241,female,17.7
54245,male,15.2
54245,female,18.8
54246,male,38.6
54246,female,48.4
54247,male,18.1
54247,female,20.6
54301,male,34.8
54301,female,33.3
54302,male,18.4
54302,female,23.1
54303,male,15.7
54303,female,18
54304,male,23.1
54304,female,23.2
54311,male,30
54311,female,33
54313,male,32.6
54313,female,33.7
54401,male,28.4
54401,female,26.7
54403,male,25.6
54403,female,27.1
54405,male,12.2
54405,female,11.7
54406,male,27.4
54406,female,30.8
54407,male,31.9
54407,female,33.6
54408,male,5.7
54408,female,13.6
54409,male,18.6
54409,female,15.8
54410,male,12.1
54410,female,20.4
54411,male,11
54411,female,16.9
54412,male,11.8
54412,female,20.8
54413,male,6.1
54413,female,11.9
54414,male,10.3
54414,female,16.2
54416,male,7.3
54416,female,13.6
54417,male,0
54417,female,0
54418,male,8.9
54418,female,12.8
54420,male,14.6
54420,female,24.8
54421,male,7
54421,female,10
54422,male,4.2
54422,female,7.7
54423,male,25.7
54423,female,23.1
54424,male,18.3
54424,female,18.3
54425,male,5.3
54425,female,12.9
54426,male,10.2
54426,female,18.5
54427,male,9.2
54427,female,11.5
54428,male,12.7
54428,female,20.4
54430,male,24.5
54430,female,4.3
54433,male,12.5
54433,female,15.7
54435,male,13.2
54435,female,14.7
54436,male,8.2
54436,female,10.6
54437,male,9.8
54437,female,19.2
54440,male,10.2
54440,female,19.6
54441,male,25
54441,female,30.5
54442,male,15.4
54442,female,15.1
54443,male,15.8
54443,female,19.4
54446,male,9.3
54446,female,13.5
54447,male,15.5
54447,female,14.5
54448,male,15.5
54448,female,21
54449,male,28.4
54449,female,28.9
54450,male,3.8
54450,female,13
54451,male,12.1
54451,female,16.6
54452,male,15.5
54452,female,18
54454,male,7.5
54454,female,14.3
54455,male,25.9
54455,female,29.6
54456,male,11.6
54456,female,15.7
54457,male,15.2
54457,female,14.9
54458,male,32.1
54458,female,24.2
54459,male,14.8
54459,female,13.8
54460,male,9.2
54460,female,14.1
54462,male,4.5
54462,female,10.1
54463,male,19.2
54463,female,16.9
54465,male,8.1
54465,female,10.2
54466,male,14.3
54466,female,20
54467,male,33.4
54467,female,31.7
54469,male,24.3
54469,female,23.6
54470,male,12.3
54470,female,15.9
54471,male,18.6
54471,female,25.7
54473,male,13.4
54473,female,16.6
54474,male,19.4
54474,female,26.3
54475,male,11.5
54475,female,16.7
54476,male,23.5
54476,female,27.2
54479,male,10.8
54479,female,17.3
54480,male,12.3
54480,female,10
54481,male,33
54481,female,36.3
54482,male,30.2
54482,female,33.2
54484,male,15.7
54484,female,20.7
54485,male,17.9
54485,female,15.6
54486,male,8.7
54486,female,16.4
54487,male,16.7
54487,female,17.3
